"Type and level of education","1980","1985","1990","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Total",283.7,289.6,287.7,277.4,283.9,289.7,295.2,302.7,305.8,304.0,298.4,293.0,288.6,278.3,268.4,257.5,250.1,247.0,243.1,237.6,231.9,226.2,222.9,221.9,222.1,223.6,225.9,227.9,231.6,233.0,238.7
"General education",217.6,223.1,225.4,221.1,222.7,224.1,223.7,222.2,218.6,213.8,206.7,199.1,190.9,181.0,171.0,162.0,154.5,149.6,145.9,143.0,140.9,140.5,142.5,145.9,149.2,153.3,156.7,158.7,160.8,162.6,169.1
"..basic school level",171.2,183.5,193.8,184.2,184.8,185.8,186.6,184.7,180.5,174.3,166.8,158.4,148.8,138.8,129.4,122.8,117.5,114.6,112.6,112.0,112.2,113.6,116.3,120.0,122.9,126.4,129.3,131.1,132.1,133.0,138.3
"..gymnasium level",46.4,39.6,31.6,36.8,37.8,38.3,37.1,37.5,38.0,39.4,39.9,40.7,42.1,42.1,41.6,39.2,36.9,35.1,33.3,31.0,28.8,26.9,26.2,25.9,26.2,26.9,27.3,27.6,28.8,29.6,30.8
"Vocational education",40.6,43.0,36.4,29.4,31.5,31.3,31.2,31.2,30.9,29.8,28.1,28.2,29.9,29.0,28.7,27.4,27.2,28.4,28.0,27.0,26.2,25.7,25.2,24.9,25.1,24.1,23.4,24.0,25.5,25.9,25.5
"..vocational courses with no previous education requirement",.,.,.,1.7,1.6,1.2,1.0,0.1,0.2,0.2,0.2,0.3,0.3,0.0,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,1.1,1.1,1.2,1.4,1.5,1.6,1.5
"..vocational courses after basic education",.,.,.,17.3,17.6,18.1,17.9,18.0,17.5,17.9,16.4,17.1,18.9,18.9,19.0,18.5,18.2,18.2,17.5,16.1,15.1,14.3,14.5,16.4,18.0,18.2,18.3,18.6,19.7,19.8,19.7
"..vocational courses after secondary education",.,.,.,10.4,12.3,12.0,12.3,13.1,13.2,11.7,11.5,10.8,10.8,10.1,9.5,8.6,8.7,9.7,10.2,10.6,10.6,11.1,10.2,7.7,6.0,4.8,3.9,4.0,4.3,4.4,4.2
"Higher education",25.5,23.5,25.9,27.2,30.1,34.5,40.6,49.6,56.4,60.4,63.6,65.7,67.7,68.3,68.8,68.2,68.4,69.0,69.1,67.6,64.8,60.0,55.2,51.1,47.8,46.2,45.8,45.2,45.3,44.6,44.1
"..professional higher education",.,.,.,.,.,.,.,.,.,.,6.2,14.3,19.2,20.9,22.4,22.9,23.0,22.5,22.0,20.8,20.2,17.9,15.7,14.2,13.4,12.9,12.6,12.0,11.7,11.5,11.2
"..vocational higher education",.,.,.,.,.,.,.,3.2,5.6,7.6,5.1,1.9,0.3,0.1,0.1,0.0,0.0,0.0,.,.,.,.,.,.,..,..,..,..,..,..,..
"..diploma study",.,.,.,6.1,7.7,10.5,15.0,16.5,17.1,17.4,12.9,8.2,4.7,2.4,1.2,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"..Bachelor study",.,.,.,18.0,18.8,20.5,21.7,25.2,27.9,28.7,29.3,30.0,30.9,29.8,28.6,27.9,27.5,27.5,27.5,26.6,24.5,22.7,20.5,18.9,16.8,16.1,15.8,15.7,16.0,15.8,15.9
"..integrated Bachelor's/Master's study",.,.,.,.,.,.,.,.,.,.,2.1,2.6,3.1,3.5,3.7,3.9,4.1,4.2,4.1,4.0,3.9,3.7,3.6,3.3,3.3,3.2,3.2,3.2,3.3,3.3,3.3
"..Master's study",.,.,.,2.6,2.8,2.7,2.8,3.4,4.3,5.1,6.4,7.0,7.8,9.7,10.7,11.1,11.3,12.1,12.6,13.2,13.1,12.7,12.4,11.8,11.6,11.5,11.8,12.0,12.0,11.7,11.4
"..Doctoral study",.,.,.,0.6,0.7,0.9,1.1,1.3,1.4,1.5,1.6,1.7,1.8,2.0,2.1,2.4,2.5,2.7,2.9,3.1,3.0,3.0,2.9,2.8,2.6,2.5,2.4,2.3,2.3,2.4,2.3
