,Type and level of education,Year,People Count
0,Total,1980,283.7
1,General education,1980,217.6
2,..basic school level,1980,171.2
3,..gymnasium level,1980,46.4
4,Vocational education,1980,40.6
8,Higher education,1980,25.5
16,Total,1985,289.6
17,General education,1985,223.1
18,..basic school level,1985,183.5
19,..gymnasium level,1985,39.6
20,Vocational education,1985,43.0
24,Higher education,1985,23.5
32,Total,1990,287.7
33,General education,1990,225.4
34,..basic school level,1990,193.8
35,..gymnasium level,1990,31.6
36,Vocational education,1990,36.4
40,Higher education,1990,25.9
48,Total,1995,277.4
49,General education,1995,221.1
50,..basic school level,1995,184.2
51,..gymnasium level,1995,36.8
52,Vocational education,1995,29.4
53,..vocational courses with no previous education requirement,1995,1.7
54,..vocational courses after basic education,1995,17.3
55,..vocational courses after secondary education,1995,10.4
56,Higher education,1995,27.2
59,..diploma study,1995,6.1
60,..Bachelor study,1995,18.0
62,..Master's study,1995,2.6
63,..Doctoral study,1995,0.6
64,Total,1996,283.9
65,General education,1996,222.7
66,..basic school level,1996,184.8
67,..gymnasium level,1996,37.8
68,Vocational education,1996,31.5
69,..vocational courses with no previous education requirement,1996,1.6
70,..vocational courses after basic education,1996,17.6
71,..vocational courses after secondary education,1996,12.3
72,Higher education,1996,30.1
75,..diploma study,1996,7.7
76,..Bachelor study,1996,18.8
78,..Master's study,1996,2.8
79,..Doctoral study,1996,0.7
80,Total,1997,289.7
81,General education,1997,224.1
82,..basic school level,1997,185.8
83,..gymnasium level,1997,38.3
84,Vocational education,1997,31.3
85,..vocational courses with no previous education requirement,1997,1.2
86,..vocational courses after basic education,1997,18.1
87,..vocational courses after secondary education,1997,12.0
88,Higher education,1997,34.5
91,..diploma study,1997,10.5
92,..Bachelor study,1997,20.5
94,..Master's study,1997,2.7
95,..Doctoral study,1997,0.9
96,Total,1998,295.2
97,General education,1998,223.7
98,..basic school level,1998,186.6
99,..gymnasium level,1998,37.1
100,Vocational education,1998,31.2
101,..vocational courses with no previous education requirement,1998,1.0
102,..vocational courses after basic education,1998,17.9
103,..vocational courses after secondary education,1998,12.3
104,Higher education,1998,40.6
107,..diploma study,1998,15.0
108,..Bachelor study,1998,21.7
110,..Master's study,1998,2.8
111,..Doctoral study,1998,1.1
112,Total,1999,302.7
113,General education,1999,222.2
114,..basic school level,1999,184.7
115,..gymnasium level,1999,37.5
116,Vocational education,1999,31.2
117,..vocational courses with no previous education requirement,1999,0.1
118,..vocational courses after basic education,1999,18.0
119,..vocational courses after secondary education,1999,13.1
120,Higher education,1999,49.6
122,..vocational higher education,1999,3.2
123,..diploma study,1999,16.5
124,..Bachelor study,1999,25.2
126,..Master's study,1999,3.4
127,..Doctoral study,1999,1.3
128,Total,2000,305.8
129,General education,2000,218.6
130,..basic school level,2000,180.5
131,..gymnasium level,2000,38.0
132,Vocational education,2000,30.9
